"","focus","time_period","category","likelihood","magnitude","likelihoodSE","magnitudeSE","likelihoodSD","magnitudeSD","mnConf","likelihoodCV","magnitudeCV","cat_wrap","ylower","yupper","xlower","xupper","confidence","uncertainty"
"1","aquaculture","long-term","Catastrophic effects (i.e. death) on cultured species",7.83333333333333,7.5,0.660960427611734,0.583874208121142,2.28963408483195,2.02259958738973,1.54166666666667,29.229371295727,26.9679944985297,"Catastrophic effects (i.e.
death) on cultured species",6.54446049949045,9.12220616717621,6.36144529416377,8.63855470583623,1.54166666666667,0.648648648648649
"2","aquaculture","long-term"," habitat area suitable for aquaculture",8.08333333333333,7.91666666666667,0.773209890879272,0.701279494419258,2.67847763183537,2.42930342928074,2.12878787878788,33.1358057546644,30.6859380540725,"habitat area suitable for
aquaculture",6.57557404611875,9.59109262054791,6.54917165254911,9.28416168078422,2.12878787878788,0.469750889679715
"3","aquaculture","long-term","ability to access facility (days per year)",7.41666666666667,5.75,0.583333333333333,0.604591021294811,2.02072594216369,2.09436473336514,1.21590909090909,27.2457430404093,36.4237344933068,"ability to access facility
(days per year)",6.27916666666667,8.55416666666667,4.57104750847512,6.92895249152488,1.21590909090909,0.822429906542056
"4","aquaculture","long-term","availability of terrestrial ingredients for fish feeds",7.5,6.75,0.67979497800529,0.616994180022647,2.35487888127066,2.13733053554704,1.56060606060606,31.3983850836088,31.6641560821784,"availability of terrestrial
ingredients for fish feeds",6.17439979288969,8.82560020711031,5.54686134895584,7.95313865104416,1.56060606060606,0.640776699029126
"5","aquaculture","long-term","frequency of damage to equipment/facilities ",7.33333333333333,6.5,0.497468338163091,0.570751763692041,1.72328087371066,1.97714210644832,1.58333333333333,23.499284641509,30.4175708684357,"frequency of damage to
equipment/facilities",6.36327007391531,8.30339659275136,5.38703406080052,7.61296593919948,1.58333333333333,0.631578947368421
"6","aquaculture","long-term","location of shore based processing facilities, docks, distribution centers",7.25,5.33333333333333,0.565752381856018,0.655204494255747,1.95982373975546,2.26969494679685,1.30681818181818,27.032051582834,42.5567802524409,"location of shore based
processing facilities, docks,
distribution centers",6.14678285538077,8.35321714461923,4.05568456953463,6.61098209713204,1.30681818181818,0.765217391304348
"7","aquaculture","long-term","range of non-target species which impact aquaculture such as marine mammals, predators, protected species etc.",7.58333333333333,6.58333333333333,0.679330478478553,0.782946390569016,2.35326980770986,2.7122058561364,1.70833333333333,31.0321293324377,41.198063637515,"range of non-target species
which impact aquaculture such
as marine mammals, predators,
protected species etc.",6.25863890030016,8.90802776636651,5.05658787172375,8.11007879494291,1.70833333333333,0.585365853658537
"8","aquaculture","long-term","seafood quality post harvest",5.33333333333333,4.66666666666667,0.855758863420784,0.771984194112545,2.96443566094439,2.67423169368609,1.29166666666667,55.5831686427073,57.3049648647018,"seafood quality post harvest",3.6646035496628,7.00206311700386,3.1612974881472,6.17203584518613,1.29166666666667,0.774193548387097
"9","aquaculture","long-term","seafood quality pre harvest",5.75,5.25,0.760033890791401,0.686724769533551,2.63283462864992,2.37888438329628,1.30681818181818,45.7884283243465,45.3120834913577,"seafood quality pre harvest",4.26793391295677,7.23206608704323,3.91088669940958,6.58911330059042,1.30681818181818,0.765217391304348
"10","aquaculture","long-term","target culture species range expansion/contraction",8.5,7.75,0.668557923421521,0.686724769533551,2.31595258233764,2.37888438329628,1.91666666666667,27.2465009686781,30.6952823651133,"target culture species range
expansion/contraction",7.19631204932803,9.80368795067197,6.41088669940958,9.08911330059042,1.91666666666667,0.521739130434783
